model,metric,n,mean,sd,median,q025,q975
lightgbm,roc_auc,200,0.6845388050513563,0.10094859861227401,0.6978860294117646,0.4292929292929293,0.8735632183908045
lightgbm,pr_auc,200,0.7452849185598677,0.09100685810663002,0.7615115706874804,0.5455833773767703,0.9069267764126319
lightgbm,balanced_accuracy,200,0.6211667087288071,0.09986289299357477,0.6294221907125133,0.43454816017316017,0.7980011520737328
lightgbm,accuracy,200,0.6235694294576665,0.09991487045619948,0.6303452453058753,0.43698897370653095,0.8000704225352113
lightgbm,sensitivity,200,0.6499751175037554,0.1609563988803622,0.6666666666666666,0.35714285714285715,0.9333333333333333
lightgbm,specificity,200,0.5923582999538589,0.18089087242370033,0.5904007455731595,0.2421969696969698,1.0
lightgbm,precision,200,0.6484122053752523,0.12137860422139748,0.643093465674111,0.434506263817244,1.0
lightgbm,f1,200,0.6371632560026222,0.11198970438394551,0.6569343065693432,0.39332796468623243,0.8025937428111342
lightgbm,mcc,200,0.2523725253740183,0.20730351095310093,0.2687097589070127,-0.1315601748314037,0.6185520451440145
lightgbm,brier,200,0.2482622992058058,0.05424448929089124,0.24318376672509678,0.1593724271517234,0.38834166367784106
logistic_l1,roc_auc,200,0.6721526462187871,0.10197471735781118,0.6662878787878788,0.4567099567099567,0.8529411764705882
logistic_l1,pr_auc,200,0.7197665498049163,0.09197439283967034,0.719092109357975,0.5294820449977251,0.8825271886471776
logistic_l1,balanced_accuracy,200,0.5962383075530417,0.0873642607588785,0.5898528554778555,0.429020737327189,0.7730769230769231
logistic_l1,accuracy,200,0.6006613742415241,0.08804040851234371,0.5954198473282443,0.4476985510404184,0.776
logistic_l1,sensitivity,200,0.6994045103503308,0.16474358451586457,0.7142857142857143,0.35714285714285715,0.9334375
logistic_l1,specificity,200,0.4930721047557527,0.19600425782474984,0.47575431034482774,0.11413127413127418,0.8184415584415585
logistic_l1,precision,200,0.6116233919288027,0.09608392205554697,0.5942292171105732,0.4542577675489069,0.8068599428338099
logistic_l1,f1,200,0.6396092193679771,0.0980862093043957,0.6474820143884893,0.423135593220339,0.797722304491926
logistic_l1,mcc,200,0.205061945979538,0.18310740414530216,0.1922780641599794,-0.15496273314291012,0.5536927725133405
logistic_l1,brier,200,0.22939057960512713,0.01806155074949076,0.22769590516120747,0.19987674337077654,0.26742977403729673
logistic_l2,roc_auc,200,0.6949370234980481,0.10604315837286832,0.7060661764705882,0.4700460829493087,0.8958333333333334
logistic_l2,pr_auc,200,0.7464801082164871,0.09452161279018644,0.7499617749838321,0.5439269955284625,0.9275479306141894
logistic_l2,balanced_accuracy,200,0.5894778582986722,0.09513178165972747,0.5731227106227106,0.4482559403071574,0.7928631524725275
logistic_l2,accuracy,200,0.5818307785591544,0.1035781957595137,0.5751712328767123,0.40861477285107317,0.7985971223021583
logistic_l2,sensitivity,200,0.41224009732097966,0.31586915849062763,0.39230769230769236,0.0,0.875
logistic_l2,specificity,200,0.7667156192763648,0.23186280650608734,0.8285714285714286,0.3333333333333334,1.0
logistic_l2,precision,200,0.635501438959269,0.31485023200085543,0.6603773584905662,0.0,1.0
logistic_l2,f1,200,0.4321381666777324,0.2725984908671118,0.4942372881355932,0.0,0.8050523788738543
logistic_l2,mcc,200,0.20690908901623253,0.21294343165342208,0.200127316167782,-0.2319572822197808,0.5950237100108191
logistic_l2,brier,200,0.24794464650231304,0.05371940236057305,0.24778966602487745,0.13589176145177154,0.35997093270245023
random_forest,roc_auc,200,0.7385640105051527,0.0983325670332296,0.7402871621621622,0.5147783251231526,0.8937499999999999
random_forest,pr_auc,200,0.7746038673777798,0.092683917042359,0.7802691384039147,0.6073705214726435,0.9185315045343421
random_forest,balanced_accuracy,200,0.6641502698063374,0.09256224735769256,0.6709533709533709,0.4522619047619047,0.8126444892473118
random_forest,accuracy,200,0.668838052965165,0.09360562640215672,0.6727774172615186,0.45305641698473276,0.813786670097787
random_forest,sensitivity,200,0.7547000894057783,0.16554292713635743,0.7692307692307693,0.35654761904761906,1.0
random_forest,specificity,200,0.5736004502068964,0.19520514969667052,0.5862068965517243,0.21378968253968256,0.9063210227272728
random_forest,precision,200,0.6733019419864307,0.11332247842165931,0.6701030927835052,0.4663636363636365,0.8975409836065574
random_forest,f1,200,0.6981271477737435,0.102624347543672,0.7164242942686057,0.4645503189956781,0.8387096774193549
random_forest,mcc,200,0.35170449686040184,0.1893861715320438,0.36604376439769354,-0.09809019058406604,0.6455810935474862
random_forest,brier,200,0.21863586104197272,0.017780412609914142,0.21682455207797302,0.19006157067988633,0.254901061853566
