analysis_drug_name,model_label,faers_signal_class,final_descriptor_rf_prob_positive,selection_reason,waterfall_file_stem
AZACITIDINE,0,negative_expanded,0.5356248474734191,high_prob_negative,AZACITIDINE__label0__p0.54__high_prob_negative
PSEUDOEPHEDRINE,0,negative_expanded,0.5047390756393693,high_prob_negative,PSEUDOEPHEDRINE__label0__p0.50__high_prob_negative
FENFLURAMINE,0,negative_expanded,0.49992199243386526,high_prob_negative,FENFLURAMINE__label0__p0.50__high_prob_negative
MIDAZOLAM,1,positive_moderate,0.472959650785107,low_prob_positive,MIDAZOLAM__label1__p0.47__low_prob_positive
EPHEDRINE,1,positive_moderate,0.5047390756393693,low_prob_positive,EPHEDRINE__label1__p0.50__low_prob_positive
NEMTABRUTINIB,1,positive_moderate,0.5538931743098967,low_prob_positive,NEMTABRUTINIB__label1__p0.55__low_prob_positive
DOXORUBICIN,1,positive_moderate,0.9436602611937649,high_prob_positive,DOXORUBICIN__label1__p0.94__high_prob_positive
CYCLOPHOSPHAMIDE,1,positive_moderate,0.9411734209436793,high_prob_positive,CYCLOPHOSPHAMIDE__label1__p0.94__high_prob_positive
IFOSFAMIDE,1,positive_moderate,0.9391734209436793,high_prob_positive,IFOSFAMIDE__label1__p0.94__high_prob_positive
IBRUTINIB,0,negative_moderate,0.07379727842210265,low_prob_negative,IBRUTINIB__label0__p0.07__low_prob_negative
OLANZAPINE,0,negative_moderate,0.08557756980883356,low_prob_negative,OLANZAPINE__label0__p0.09__low_prob_negative
CLOZAPINE,0,negative_high,0.08682825806017766,low_prob_negative,CLOZAPINE__label0__p0.09__low_prob_negative
